City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
552,soure,-0.7167,-48.5233,27.670000000000016,73,42,5.71,BR,1696121523
553,twon-brass,4.3151,6.2418,26.5,85,4,4.64,NG,1696121523
554,san fernando de apure,7.8878,-67.4724,28.07000000000005,79,100,1.01,VE,1696121523
555,archidona,37.0965,-4.3887,19.680000000000007,62,6,2.09,ES,1696121524
556,none,44.9331,7.5401,20.560000000000002,78,0,8.75,IT,1696120939
557,ibadan,7.3878,3.8964,22.420000000000016,97,54,0.62,NG,1696121524
558,chiredzi,-21.05,31.6667,25.54000000000002,42,0,1.81,ZW,1696121525
559,mingshui,36.7167,117.5,19.210000000000036,38,0,0.55,CN,1696121525
560,capao da canoa,-29.7456,-50.0097,15.930000000000007,89,100,4.43,BR,1696121525
561,burabay,53.0838,70.3138,8.410000000000025,74,74,1.85,KZ,1696121525
562,belen,36.4891,36.2233,17.08000000000004,88,40,2.57,TR,1696121526
563,ramnagar,29.4,79.1167,21.980000000000018,86,4,1.86,IN,1696121526
564,lensk,60.7253,114.9278,7.890000000000043,81,26,2.25,RU,1696121526
565,vila velha,-20.3297,-40.2925,19.970000000000027,95,100,2.06,BR,1696121527
